Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18152910,BA1011/313,Portrait of S. Kosky,1914-1918.,1 photonegative :,,"Kosky is standing, wearing Field Service cap and badges, cane and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kosky, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,313PD.jpg"
.b18152934,BA1011/314,"Private Ivo William Kinshela, 6 June 1915",1915,1 negative :,Dated: 6.6.1915.,"Portrait of Kinshela, 28th Battalion, wearing badges and puttees and holding slouch hat. Ivo William Kinshela enlisted in Perth and served at Gallipoli and France. His service records are held by the National Archives of Australia and are available online.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kinshela, Ivo William",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,314PD.jpg"
.b18152971,BA1011/315,Portrait of Alex Kelly,1914-1918.,1 photonegative :,,"Kelly is sitting, wearing slouch hat and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 107 (S).,"Kelly, A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,315PD.jpg"
.b18175685,BA1011/343,Portrait of B. Burgman,1914-1918.,1 photonegative :,,"Burgman is standing, wearing a Field Service cap, badges, leggings and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Burgman, B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,343PD.jpg"
.b18176008,BA1011/344,"Portrait of five men, one of whom is E.J. Bewsher",1914-1918.,1 photonegative :,,"Portrait of five men, one of whom is Bewsher. Two are sitting and three are standing, all wearing Field Service caps, leggings and carrying riding crops.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Bewsher, E. J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,344PD.jpg"
.b18176070,BA1011/345,Portrait of Vic Berryman,1918,1 negative :,Dated: 25.2.1918.;Written on piece of paper found with negative: Pt Vic Berryman Feb. 25th 1918.,"Berryman is sitting, wearing Field Service cap, badges, leggings and carrying riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Berryman, Vic",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,345PD.jpg"
.b18176100,BA1011/346,Portrait of J. Braden,1914-1918.,1 photonegative :,,"Braden of the 10th Australian Light Horse is standing, wearing slouch hat and plumes, bandolier, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Braden, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,346PD.jpg"
.b18176124,BA1011/347,"Portrait of two soldiers, one of whom is R.P. Brown",1914-1918.,1 photonegative :,,"Portrait of two soldiers, one of whom is Brown. One is sitting, one is standing wearing Field Service caps, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Brown, R. P.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,347PD.jpg"
.b1817615x,BA1011/348,Portrait of W. Butcher,1914-1918.,1 photonegative :,,"Full length portrait of Butcher leaning, wearing Field Service cap and badge, puttees and carrying riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Butcher, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,348PD.jpg"
.b18176185,BA1011/349,Portraits of E.A. Baker,1914-1918.,1 photonegative :,Two images on one plate.,"Baker is wearing Field Service cap, artillery collar badge and plaited chin strap.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Baker, E. A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,349PD.jpg"
.b18176239,BA1011/350,Portrait of W. Butcher,1914-1918.,1 photonegative :,,"Butcher is standing, wearing slouch hat and carrying a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Butcher, W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,350PD.jpg"
.b18176653,BA1011/351,Portrait of Best,1914-1918.,1 photonegative :,,"Best is seated, wearing puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,Best,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,351PD.jpg"
.b18176665,BA1011/352,Portrait of Reuben John Bond,1916,1 negative :,,"Bond is standing, wearing a slouch hat, badges, puttees and wrist watch.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 7 (S).,"Bond, Reuben John",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,352PD.jpg"
.b18176707,BA1011/331,Portrait of Francisco Aceituno,1914-1918.,1 photonegative :,,"Aceituno is standing, wearing collar badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Aceituno, Francisco",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,331PD.jpg"
.b18176719,BA1011/332,Portrait of D. Allardice,1914-1918.,1 photonegative :,,"Allardice is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Allardice, D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,332PD.jpg"
.b18176720,BA1011/333,Portraits of N. Allison,1914-1918.,1 photonegative :,Two images on one plate.,Waist length portraits of Allison wearing Field Service cap and badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Allison, N.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,333PD.jpg"
.b1817713x,BA1011/334,Portraits of C.G. Allison,1914-1918.,1 photonegative :,Two images on one plate.,Waist length portraits of Allison wearing Field Service cap with large badge and collar badge.;Adopted by Meredith Blair.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Allison, C. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,334PD.jpg"
.b18177165,BA1011/335,Portrait of J.W. Anderson,1914-1918.,1 photonegative :,,"Anderson is sitting, wearing Field Service cap and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Anderson, J. W.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,335PD.jpg"
.b18177177,BA1011/336,Portrait of D. Allardice,1914-1918.,1 photonegative :,,"Allardice is sitting, wearing Field Service cap and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Allardice, D.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,336PD.jpg"
.b18177207,BA1011/337,Portrait of Corporal Symonds,1914-1918.,1 photonegative :,,"Waist length portrait of Symonds, wearing Field Service cap, large badge and collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Symonds,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,337PD.jpg"
.b18177256,BA1011/338,Portrait of F.S. Armstrong,1914-1918.,1 photonegative :,,"Armstrong is sitting, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Armstrong, F. S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,338PD.jpg"
.b18177372,BA1011/339,Portrait of B. Abbot,1914-1918.,1 photonegative :,,"Abbot is standing, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Abbot, B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,339PD.jpg"
.b18177384,BA1011/340,Portrait of B. Abbot,1914-1918.,1 photonegative :,,"Abbot is sitting, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Abbot, B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,340PD.jpg"
.b18177438,BA1011/341,Portrait of Shepherd,1914-1918.,1 photonegative :,Two images on one plate.,"Waist length portraits of two soldiers, one of whom is Shepherd, one wearing Field Service cap and badges and one wearing a slouch hat and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,Shepherd,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,341PD.jpg"
.b18177554,BA1011/342,Portrait of Private Shipperd,1915,1 photonegative :,Dated: 13.9.1915.,"Shipperd is sitting, wearing Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 128 (S).,"Shipperd,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,342PD.jpg"
.b18188795,BA1011/439,Portrait of M. Allen,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Allen, wearing slouch hat and plumes (not emu), two medals and dress uniform.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 432.,"Allen, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,439PD.jpg"
.b18188813,BA1011/440,Portrait of M. Allen,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Allen, wearing slouch hat and plumes (not emu), two medals and dress uniform.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 432.,"Allen, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,440PD.jpg"
.b18188837,BA1011/441,Portrait of Mr Mills,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Mills, wearing slouch hat and plumes (not emu), two medals and dress uniform.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 432.,Mills,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,441PD.jpg"
.b18188849,BA1011/442,Portrait of Mr Mills,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Mills, wearing slouch hat and plumes (not emu), two medals and dress uniform.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 432.,Mills,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,442PD.jpg"
.b18188850,BA1011/443,Portrait of Mr Corkhill,1914-1918.,1 photonegative :,,"Head and shoulders portrait of Corkhill, wearing slouch hat and plumes (not emu), three medals and dress uniform.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 432.,Corkhill,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,443PD.jpg"
