Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b35961697,BA780/1,,"T.S. Louch (right) at Cocriamont, April 1919.",1919,1 photograph :,"Caption title: Cocriamont, April 1919.;Cocriamont in Belgium. The officer at right has been identified as T.S. Louch using BA780/31 which has name captions.",,"Louch, T. S.",Soldiers;Soldiers;Automobiles;Online image.,,"BA780/1: T.S. Louch (right) at Cocriamont, April 1919",http://purl.slwa.wa.gov.au/slwa_b3596169_1;http://purl.slwa.wa.gov.au/slwa_b3596169_1.png
b35961739,"BA780/2, 33",,"13th Brigade Headquarters near Zonnebeke during September 1917, photographed in 1929.",1929,2 photographs :,Caption title: Railway Bde H.Q. Sept. 1917. Photograph taken in 1929.,"Captain T.S. Louch wrote: Bde H.Q. was in a large concrete structure erected by the Germans, partly under the railway embankment, some 600 yards short of Zonnebeke. (Quoted in Fix bayonets : the unit history of the 51st Battalion by N. Browning, p.103.)",,"Ypres, 3rd Battle of, Ieper, Belgium, 1917;World War, 1914-1918;Online image.",,"BA780/2: 13th Brigade Headquarters near Zonnebeke during September 1917, photographed in 1929;BA780/33: 13th Brigade Headquarters near Zonnebeke during September 1917, photographed in 1929",http://purl.slwa.wa.gov.au/slwa_b3596173_1;http://purl.slwa.wa.gov.au/slwa_b3596173_2;http://purl.slwa.wa.gov.au/slwa_b3596173_1.png;http://purl.slwa.wa.gov.au/slwa_b3596173_2.png
b35961818,BA780/7,"Lafayette Studios,",T.S. Louch aged 20.,1914,1 photograph :,Caption title.,,"Louch, T. S.",Soldiers;Online image.,,"BA780/7: T.S. Louch aged 20, 1914",http://purl.slwa.wa.gov.au/slwa_b3596181_1;http://purl.slwa.wa.gov.au/slwa_b3596181_1.png
b35961880,BA780/13,"Elliott & Fry,",T.S. Louch.,1918?,1 photograph :,Title from print.,,"Louch, T. S.",Soldiers;Online image.,,"BA780/13: T.S. Louch, 1918?",http://purl.slwa.wa.gov.au/slwa_b3596188_1;http://purl.slwa.wa.gov.au/slwa_b3596188_1.png
b35961892,BA780/14,,"T.S. Louch, January 1917.",1917,1 photograph :,Title is autograph.,,"Louch, T. S.;Louch, T. S.",Soldiers;Online image.,,"BA780/14: T.S. Louch, January 1917",http://purl.slwa.wa.gov.au/slwa_b3596189_1;http://purl.slwa.wa.gov.au/slwa_b3596189_1.png
b35961934,BA780/20,,"Advance party, Bunbury Camp, 1916.",1916,1 photograph :,Title written by T.S. Louch on back of print.,"The army training camp near Bunbury was named the Forrest Park Camp, Commandant Major P.H. Meeks.",,Soldiers;Military training camps;Online image.,Forrest Park Camp (W.A.),"BA780/20: Advance party, Bunbury Camp, 1916",http://purl.slwa.wa.gov.au/slwa_b3596193_1;http://purl.slwa.wa.gov.au/slwa_b3596193_1.png
b35962008,BA780/21;3045B/45,"Rooney, C.W.,",Arrival of Swan Battalion at Forrest Park Camp /,1916?,1 photograph :;1 photograph :,Caption title from copy at BA780/21.;This photograph has been received as part of two donations accessioned at BA780/21 and 3045B/45. The best copy at BA780/21 was digitised.,The Swan Battalion (or sometimes Regiment) was the 28th Battalion AIF. The Forrest Park Camp was an army training camp near Bunbury. The Commandant was Major P.H. Meeks.,,Soldiers;Military training camps;Trains;Online image.,Forrest Park Camp (W.A.),"BA780/21: Arrival of Swan Battalion at Forrest Park Camp, 1916?",http://purl.slwa.wa.gov.au/slwa_b3596200_1;http://purl.slwa.wa.gov.au/slwa_b3596200_1.png
b35962185,BA780/22,,"T.S. Louch, Mary Louch, Major Meeks and an unknown officer.",1916?,1 photograph :,Title from back of print.,"Major Meeks was Commandant of the Forrest Park Camp, an army training camp near Bunbury.","Louch, T. S.;Louch, Mary Grace;Meeks, Philip Henry,",Soldiers;Military training camps;Online image.,Forrest Park Camp (W.A.),"BA780/22: Left-right: T.S. Louch, Mary Louch, Major Meeks and an unknown officer, 1916?",http://purl.slwa.wa.gov.au/slwa_b3596218_1;http://purl.slwa.wa.gov.au/slwa_b3596218_1.png
b35963001,"BA780/23, 29-30",,Landing at Gallipoli ANZAC 1915.,1915,3 photographs :,Caption title.,,,"World War, 1914-1918;Online image.",,BA780/23: Landing at Gallipoli ANZAC 1915;BA780/29: Landing at Gallipoli ANZAC 1915;BA780/30: Landing at Gallipoli ANZAC 1915,http://purl.slwa.wa.gov.au/slwa_b3596300_1;http://purl.slwa.wa.gov.au/slwa_b3596300_2;http://purl.slwa.wa.gov.au/slwa_b3596300_3;http://purl.slwa.wa.gov.au/slwa_b3596300_1.png;http://purl.slwa.wa.gov.au/slwa_b3596300_2.png;http://purl.slwa.wa.gov.au/slwa_b3596300_3.png
b35963013,BA780/24,"Star Photo Studio, Cairo.",Australian wounded on the first hill at Gallipoli Peninsula /,1915,1 photograph :,Caption title.,,,"World War, 1914-1918;Soldiers;Online image.",,"BA780/24: Australian wounded on the first hill at Gallipoli Peninsula, 1915",http://purl.slwa.wa.gov.au/slwa_b3596301_1;http://purl.slwa.wa.gov.au/slwa_b3596301_1.png
b35963025,BA780/25,,Mary Louch on a camel in Cairo.,1915,1 photograph :,"Title devised by cataloguer. Written on back of print: Mary in Cairo, 1915.",,"Louch, Mary Grace",Online image.,,"BA780/25: Mary Louch on a camel in Cairo, 1915",http://purl.slwa.wa.gov.au/slwa_b3596302_1;http://purl.slwa.wa.gov.au/slwa_b3596302_1.png
b35963037,BA780/26,,"Hawkins and T.S. Louch, Cairo.",1915,1 photograph :,"Title devised by cataloguer. Written on back of print: Hawkins and I at Cairo, 1915.",,"Louch, T. S.",Soldiers;Online image.,,"BA780/26: Hawkins and T.S. Louch (right), Cairo, 1915",http://purl.slwa.wa.gov.au/slwa_b3596303_1;http://purl.slwa.wa.gov.au/slwa_b3596303_1.png
b35963049,BA780/27,,"T.S. Louch, Cairo.",1915,1 photograph :,"Title devised by cataloguer. Written on back of print: Hawkins and I at Cairo, 1915.",,"Louch, T. S.",Soldiers;Online image.,,"BA780/27: T.S. Louch, Cairo, 1915",http://purl.slwa.wa.gov.au/slwa_b3596304_1;http://purl.slwa.wa.gov.au/slwa_b3596304_1.png
b35963050,BA780/28,,"A section of the 11th Battalion at lunch, Blackboy Hill.",1914,1 photograph :,"Title devised by cataloguer. Written on back of print: Blackboy Hill, 1914. My section at lunch. (meaning T.S. Louch's section)",,,Soldiers;Online image.,Blackboy Hill (W.A.),"BA780/28: A section of the 11th Battalion at lunch, Blackboy Hill, 1914",http://purl.slwa.wa.gov.au/slwa_b3596305_1;http://purl.slwa.wa.gov.au/slwa_b3596305_1.png
b35963062,BA780/31,"Freeman, R.R.","Headquarters staff, 13th Brigade, A.I.F., March 1918 /",1918,1 photograph :,Title and names written on back of print.,"Seated left-right: Capt. T.G. Clarke, (I.O)., Capt. T.S. Louch (Brigade major), Brigadier-General T.W. Glasgow, Capt. A. Nicholson (Staff Captain), Lieut. R.H. Lackman (Staff trainee); Standing: Lieut. E.H. Churcher (Gas Officer), Lieut. W. Lee (Sig. Officer), Lieut. R.J. Rudall (Courts Martial Officer), and M. Georges Chidaine (French Interpreter).  Photograph probably taken at Locre Convent (see To Villers-Bretonnaux p.191.)","Louch, T. S.;Clarke, T.G.;Glasgow, T.W.;Nicholson, A.;Lackman, R.H.;Churcher, E.H.;Lee, W.;Rudall, Reginald John,;Chidaine, Georges",Soldiers;Online image.,,"BA780/31: Seated left-right: Capt. T.G. Clarke, (I.O)., Capt. T.S. Louch (Brigade major), Brigadier-General T.W. Glasgow, Capt. A. Nicholson (Staff Captain), Lieut. R.H. Lackman (Staff trainee); Standing: Lieut. E.H. Churcher (Gas Officer), Lieut. W. Lee",http://purl.slwa.wa.gov.au/slwa_b3596306_1;http://purl.slwa.wa.gov.au/slwa_b3596306_1.png
b35963074,BA780/32,,13th Brigade HQ staff on the morning after the night attack at Villers-Bretonneux on 25 April 1918.,1918,1 photograph :,Title and names written on back of print.,"Left-right: Brigadier General T.W. Glasgow, Capt. Arthur Nicholson, Capt. T.S. Louch and Major R. Morell with Morell's dog Pete.","Louch, T. S.;Glasgow, T.W.;Nicholson, A.;Morell, Roy,",Soldiers;Online image.,,"BA780/32: Left-right: Brigadier-General T.W. Glasgow, Capt. Arthur Nicholson, Capt. T.S. Louch, Major Roy Morell with his dog Pete",http://purl.slwa.wa.gov.au/slwa_b3596307_1;http://purl.slwa.wa.gov.au/slwa_b3596307_1.png
b35963086,BA780/34-35,,"Chateau de Wandonne, France.",1913,2 postcards :,,,,Online image.,Chateau de Wandonne (France),"BA780/34: Chateau de Wandonne, France, 1913;BA780/35: Chateau de Wandonne, France, 1913",http://purl.slwa.wa.gov.au/slwa_b3596308_1;http://purl.slwa.wa.gov.au/slwa_b3596308_2;http://purl.slwa.wa.gov.au/slwa_b3596308_1.png;http://purl.slwa.wa.gov.au/slwa_b3596308_2.png
b35963098,BA780/36,,Villers-Bretonneux - Chateau du Bois l'Abbe.,approximately 1929.,1 postcard :,"Caption title.;T.S. Louch has captioned this: Home of Mlle Louchet. (Mlle Germaine Louchet owned the chateau in 1918 when Louch was stationed nearby - referred to in Personal history of the Great War by T.S. Louch, Part III, p.25) The postcard was sent from G. Louchet to T.S. Louch in ca. 1929.",,,Online image.,Chateau du Bois l'Abbe. (France),"BA780/36: Villers-Bretonneux - Chateau du Bois l'Abbe, ca. 1929",http://purl.slwa.wa.gov.au/slwa_b3596309_1;http://purl.slwa.wa.gov.au/slwa_b3596309_1.png
b35963116,BA780/37,,"Merstham, standing Col. Christie and T.S. Louch, seated on ground Capt. Bardwell.",1917,1 photograph :,"Caption title.;Merstham House in Surrey, home of Andrew Walker and family. Referred to in Personal history of the Great War by T.S. Louch, Part II, p.19 and Part III, p.2. T.S. Louch took Major Christie down to Merstham where Capt. Bardwell was staying with the Walkers on convalescent leave.",,"Louch, T. S.;Christie, Robert,;Bardwell, Bernard Everett,",Online image.,,"BA780/37: Merstham, standing Col. Christie and T.S. Louch, seated on ground Capt. Bardwell, 1917",http://purl.slwa.wa.gov.au/slwa_b3596311_1;http://purl.slwa.wa.gov.au/slwa_b3596311_1.png
b3596313x,BA780/38,,"Brigadier-General J.C. Robertson and staff, 12th Brigade H.Q., 7/11/17.",1917,1 photograph :,Caption title.,,"Robertson, James Campbell,",Online image.,,"BA780/38: Brigadier-General J.C. Robertson and staff, 12th Brigade H.Q., 7/11/17",http://purl.slwa.wa.gov.au/slwa_b3596313_1;http://purl.slwa.wa.gov.au/slwa_b3596313_1.png
b35963153,BA780/39,,13th Brigade H.Q. staff.,1918,1 photograph :,Title from back of photograph. No names are given.,,,Soldiers;Online image.,,"BA780/39: 13th Brigade H.Q. staff, France, 1918",http://purl.slwa.wa.gov.au/slwa_b3596315_1;http://purl.slwa.wa.gov.au/slwa_b3596315_1.png
b35978193,5539B/12,,"No. 6 Section, 19th Reinforcements, 11th Batallion.",1916,1 photograph :,Caption title incorrectly spells Battalion as Batallion.,"Back row: Ptes Durnford, Stevenson, Attwell (ie Atwell), Chilman, Prior, Anderson, Buckley, Edmondson, Dewar; Middle row: Dyer (kneeling), Wasson, Henderson, Cpl W.T.K. Goffin, Jones, Hunter, Love; Front row: L. Dunn, Ferguson, Stotter, Laidlaw, Geyer.","Durnford, G.;Stevenson, G.E.;Atwell, Percy Edgar;Chilman, William Edward;Prior,;Anderson, G.;Buckley, William,;Edmondson, Robert Christopher;Dewar, Stanley;Dyer,;Wasson, James Alexander;Henderson, Christopher James;Goffin, John;Jones, Ernest William;Hunter, Charles;Love, John;Dunn, Leslie;Ferguson, John;Stotter, Leslie William;Laidlaw, Thomas;Geyer, Piers James",Soldiers;Online image.,,"5539B/12: No. 6 Section, 19th Reinforcements, 11th Batallion, 1916",http://purl.slwa.wa.gov.au/slwa_b3597819_1;http://purl.slwa.wa.gov.au/slwa_b3597819_1.png
b35980825,8292B/29973-1-2,"Illustrations Ltd,","Tom Starcevich VC and Mrs Kathleen Starcevich, 17 April 1956.",1956,2 negatives :,Title devised by cataloguer.;Written on negative envelope and negatives: Mr L.T. Starcevich and Mrs Starcevich 17 April 1956.,"Tom Starcevich ""Starcey"" (Leslie Thomas Starcevich) VC.","Starcevich, Tom,;Starcevich, Kathleen Betty",Online image.,,"127105PD: Tom Starcevich VC, 17 April 1956;127106PD: Mrs Kathleen Starcevich, 17 April 1956",http://purl.slwa.wa.gov.au/slwa_b3598082_1;http://purl.slwa.wa.gov.au/slwa_b3598082_2;http://purl.slwa.wa.gov.au/slwa_b3598082_1.png;http://purl.slwa.wa.gov.au/slwa_b3598082_2.png
b35980849,8292B/29980-1-2,"Illustrations Ltd,","Thomas Leslie ""Jack"" Axford VC and Mrs Lily Axford, 19 April 1956.",1956,2 negatives :,Title devised by cataloguer.;Written on negative envelope: T.L. Axford VC winner & Mrs T.L. Axford passport.,,"Axford, Thomas Leslie,;Axford, Lily Maud",Online image.,,"127108PD: Thomas Leslie ""Jack"" Axford VC, 19 April 1956;127109PD: Mrs Lily Axford, 19 April 1956",http://purl.slwa.wa.gov.au/slwa_b3598084_1;http://purl.slwa.wa.gov.au/slwa_b3598084_2;http://purl.slwa.wa.gov.au/slwa_b3598084_1.png;http://purl.slwa.wa.gov.au/slwa_b3598084_2.png
b35980862,8292B/29984-1,"Illustrations Ltd,","George Julian ""Snowy"" Howell VC, 20 April 1956.",1956,1 negative :,Title devised by cataloguer.;Written on negative envelope: G.J. Howell VC winner passport 20/4/1956.,,"Howell, George Julian,",Online image.,,"127111PD: George Julian ""Snowy"" Howell VC, 20 April 1956",http://purl.slwa.wa.gov.au/slwa_b3598086_1;http://purl.slwa.wa.gov.au/slwa_b3598086_1.png
b35980874,8292B/29986-1,"Illustrations Ltd,","Robert Gee VC, 20 April 1956.",1956,1 negative :,Title devised by cataloguer.;Written on back of negative: Captain R. Gee VC 20/4/1956.,,"Gee, Robert,",Online image.,,"127112PD: Robert Gee VC, 20 April 1956",http://purl.slwa.wa.gov.au/slwa_b3598087_1;http://purl.slwa.wa.gov.au/slwa_b3598087_1.png
b35980898,BA515/3,,Troopships off Albany.,1914,1 photograph :,Title provided by donor.,,,"Troopships;World War, 1914-1918;Online image.",,"BA515/3: Troopships off Albany, 1914",http://purl.slwa.wa.gov.au/slwa_b3598089_1;http://purl.slwa.wa.gov.au/slwa_b3598089_1.png
b35995701,BA534/1,,"The Soldiers' Institute, Government Gardens, Perth.",approximately 1919.,1 photograph :,Title provided by donor.,"The Soldiers' Insititute was opened by the Governor Sir Harry Barron on 22 October 1916. It stood in Government Gardens (now Stirling Gardens) on a site which is now part of Council House, St George's Tce., Perth.",,Online image.,,"BA534/1: Soldiers' Institute, Government Gardens, Perth, ca. 1919",http://purl.slwa.wa.gov.au/slwa_b3599570_1;http://purl.slwa.wa.gov.au/slwa_b3599570_1.png
b35995713,BA534/2,,"Hospital Visiting Committee on board a hospital ship, Western Australia.",1915,1 photograph :,"Title provided by donor. Also written on print: Mrs Allen ie Mrs Eben Allen (Effie Marian Allen), who was acting President of the Women's Executive of the Liberal League. See a report on her visiting troop hospital ships in the West Australia 27 September 1915, p.7. It is not made clear which woman is Mrs Allen.",,"Allen, Effie Marian","Hospital ships;World war, 1914-1918;Online image.",,"BA534/2: Hospital Visiting Committee on board a hospital ship, Western Australia, 1915. One of the ladies is Mrs Effie Allen",http://purl.slwa.wa.gov.au/slwa_b3599571_1;http://purl.slwa.wa.gov.au/slwa_b3599571_1.png
b35995725,BA534/3,,"Peace celebrations on The Esplanade, Perth, 12 November 1918.",1918,1 photograph :,Title provided by donor.,,,"World war, 1914-1918;Victory celebrations;Online image.",,"BA534/3: Peace celebrations on The Esplanade, Perth, 12 November 1918",http://purl.slwa.wa.gov.au/slwa_b3599572_1;http://purl.slwa.wa.gov.au/slwa_b3599572_1.png
b35995737,BA534/4,,"Armistice night, corner of Barrack Street and St George's Terrace, Perth, 11 November 1918.",1918,1 photograph :,Title provided by donor.,,,"World war, 1914-1918;Victory celebrations;Crowds;Online image.",,"BA534/4: Armistice night, corner of Barrack Street and St George's Terrace, Perth, 11 November 1918",http://purl.slwa.wa.gov.au/slwa_b3599573_1;http://purl.slwa.wa.gov.au/slwa_b3599573_1.png
b35995749,BA535/1,,"Parade of troops in support of the conscription referendum, Wellington Street, Perth, 25 October 1916.",1916,1 photograph :,"Title provided by donor.;There were two conscription referenda: 28 October 1916 and 20 December 1917, both were defeated.",,,Draft;Referendum;Soldiers;Military parades and ceremonies;Online image.,,"BA535/1: Parade of troops in support of the conscription referendum, Wellington Street, Perth, 25 October 1916",http://purl.slwa.wa.gov.au/slwa_b3599574_1;http://purl.slwa.wa.gov.au/slwa_b3599574_1.png
