Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
 ,"Scenes from British history by the Victorian Artists' Society for the [Red Cross] fund in the Masonic Hall, 20th and 21st October, 1914 :[programme /compiled and edited by Archibald T. Strong].",,"[Melbourne, Vic. :s.n.],1914.",[12] p. ;26 cm.,"Design on cover depicts Nelson's signal from the Victory at the Battle of Trafalgar: ""England expects every man will do his duty''.",,,,Victorian Artists' Society.,"Concert programs--Victoria--Melbourne. ; --Benefit performances--Victoria--Melbourne. ; --Tableaux. ; --World War, 1914-1918--Victoria--Melbourne.",,,,"Strong, Archibald,Sir,1876-1930.",,,,
"John, Erich,composer ","Australia, the pride of the empire /words by George Stuart-Brown ; music by  Erich John",,"Brisbane, Q.  :G. Stuart-Brown and E. John,[between 1914 and 1918?]",1 score [2] pages ;35 cm.,At head of cover: People's patriotic  song,,,,,"Patriotic music--Australia ; --Marches (Voice with piano) ; --World War, 1914-1918--Australia--Songs and music",,,,"Stuart-Brown, George,lyricist",,,,
"Braybon, Gail ",Out of the cage :women's experiences in two world wars /Gail Braybon and Penny Summerfield,,"London ;New York :Pandora Press,1987","xiii, 330 p. :ill., ports ;20 cm.",Includes index.,,,,,"Women--Great Britain--History--20th century ; --Women--Employment--Great Britain--History--20th century ; --Women--Great Britain--Social conditions ; --World War, 1914-1918--Women--Great Britain ; --World War, 1939-1945--Women--Great Britain",,,,"Summerfield, Penny",0863582281 (pbk.) ; 0863580467,Pandora history,,
"Starr, Joan,1927- ","Forward :the history of the 2nd/14th Light Horse (Queensland Mounted Infantry) /Joan Starr, Christopher Sweeney",,"St. Lucia :University of Queensland Press,1989","xvi, 230 p., <30> p. of plates :ill., maps, ports. ;23 cm",Includes index. ; Sl copy paperback edition1990.,,,,"Australia.--Army.--Light Horse Regiment, 14th ; --Australia.--Army.--Light Horse Regiment, 2nd","World War, 1914-1918--Regimental histories--Australia",,,,"Sweeney, Christopher,1946-",0702222909 ; 0702223042 (pbk.),,,
"Frame, Tom,1962- ","First in, last out :the navy at Gallipoli /T.R. Frame and G. J. Swinden",,"Kenthurst, N.S.W. :Kangaroo Press,c1990","208 p., <12> p. of plates :ill., maps ;22 cm.",,Includes index.,,,Australia.--Royal Australian Navy,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula ; --World War, 1914-1918--Naval operations--Submarine ; --World War, 1914-1918--Naval operations, Australian",,,,"Swinden, G.J.(Greg J.),1966-",864172893,,,
"Holding, Norman H. ","The location of British Army records, 1914-1918 /Norman Holding",4th ed. /rev. and updated by Iain Swinnerton,"Bury, UK :Federation of Family History Societies (Publications),1999",120 p. :ill. ;21 cm.,,,,,"Great Britain.--Army--History--World War, 1914-1918--Sources--Bibliography ; --Great Britain.--Army--Records and correspondence","World War, 1914-1918--Sources--Bibliography ; --Soldiers--Great Britain--Registers",Great Britain--Genealogy--Bibliography,,,"Swinnerton, Iain",1860060846 (pbk),,,
 ,"Twenty years after :the battlefields of 1914-18, then and now /edited by Sir Ernest Swinton.",,"London :Newnes,[1936-1938]","2 v. (viii, 1532 p.) :ill., maps, ports. ;28 cm. +supplementary vol.",Originally issued in 42 parts. ; Includes index.,,,,,"World War, 1914-1918--Battlefields.",,,,"Swinton, ErnestSir,1868-1951.",,,,
"Putkowski, Julian,1947- ",Shot at dawn :executions in World War One by authority of the British Army Act /Julian Putkowski & Julian Sykes,New & rev. ed.,"London :L.Cooper,1992, c1989",302 p. :ill. ;24cm.,"First pub. Barnsky, England : Wharncliffe Pub., 1989.",Includes index.,,,,"Courts-martial and courts of inquiry--Great Britain ; --World War, 1914-1918--Great Britain ; --Trials (Military offenses)--Great Britain--History ; --Desertion, Military--History",,,,"Sykes, Julian,1954-",0850522951 ; 0850522951,,,
"Baylebridge, William,1883-1942 ",An Anzac muster /by William Blocksidge,,"<Sydney :Tallabila Press,1921>","viii, 288 p. ;23 cm.",'100 copies printed' -- t.p. verso. ; 'Privately printed'.,,,,,"World War, 1914-1918--Fiction",,,,Tallabila Press,,,,
"Crew, Gary,1947- ","Memorial /Gary Crew, Shaun Tan.",,"South Melbourne, Vic. :Lothian Books,2003, c1999.",1 v. (unpaged) :col. ill. ;25 cm.,"""The Children's Book Council of Australia--Honour Book""---Cover.",,"This moving and evocative story interweaves themes of war, memory, and conservation, and brings the legend of the Anzacs to a new generation.",,,"Memorial rites and ceremonies--Australia--Juvenile fiction. ; --World War, 1914-1918--Monuments--Australia--Juvenile fiction. ; --Memorials--Australia--Juvenile fiction. ; --War memorials--Australia--Juvenile fiction. ; --Children's stories--Pictorial works.",,,,"Tan, Shaun.",9780734405456 (pbk.) ; 0734405456,,,
 ,The illustrated history of the World Wars /editor-in-chief A.J.P. Taylor.,,"London :Octopus Books,1978.","480 p. :ill. (some col.), facsims. (chiefly col.), maps (some col.), ports (some col.) ;31 cm.","Ill. on lining papers. ; '... adapted from ""The history of the 20th century"" [partwork]' - title page verso.",,,,,"World War, 1914-1918 ; --World War, 1939-1945.",,,,"Taylor, A. J. P.(Alan John Percivale),1906-1990.",0706406605 :£7.95,,,
"Hager, Philip E. ","The novels of World War I :an annotated bibliography /Philip E. Hager, Desmond Taylor",,"New York :Garland Pub,1981","xvii, 513 p. ;23 cm.",Includes indexes.,,,,,"World War, 1914-1918--Fiction--Bibliography ; --World War, 1914-1918--Juvenile fiction--Bibliography",,,,"Taylor, Desmond,1930-",824094913,Garland reference library of the humanities ;v. 232,,
 ,"Nulli secundus :a history of the Second Battalion, A.I.F., 1914-1919 /compilators : F.W. Taylor and T.A. Cusack ; foreword by Lt. Colonel E.E. Herrod",,"Swanbourne, W.A. :John Burridge Military Antiques,1992","<357> p., <36> p. of plates :ill., ports. ;22 cm.","Facsim. ed. of: Sydney : New Century Press, 1942. ; Honours and awards list - 2nd Battalion, A.I.F.: <p.356-357>",,,,"Australia.--Army.--Battalion, 2nd","World War, 1914-1918--Regimental histories--Australia",,,,"Taylor, F. W.(Frederick William) ; Cusack, T. A.(Timothy Arthur)",,,,
 ,"Nulli secundus :a history of the Second Battalion, A.I.F., 1914-1919 /Compilators : F.W. Taylor and T.A. Cusack ; foreword by Lt. Colonel E.E. Herrod",,"<Sydney :New Century Press,1942>","<357> p., <36> p. of plates :ill., ports ;23 cm.","Honours and awards list - 2nd Battalion, A.I.F. : p. <356-357> ; Library's coy contains the book-plate of the 2nd Battalion (A.I.F.) Association, Sydney",,,,"Australia.--Army.--Battalion, 2nd","World War, 1914-1918--Regimental histories--Australia",,,,"Taylor, F. W.(Frederick William) ; Cusack, T. A.(Timothy Arthur)",,,,
 ,The book of confidence :the world's sayings and cartoons /edited by George Taylor,2nd ed.,"<Sydney :printed by Building Ltd.,19->",64 p. :ill. ;19 cm.,Cover title. ; At head of title: War issue.,,,,,"World War, 1914-1918--Australia--Caricatures and cartoons ; --World War, 1914-1918--Australia--Quotations, maxims, etc.",,,,"Taylor, George A.(George Augustine),1872-1928",,,,
"Sanders, M. L.(Michael L.) ","British propaganda during the First World War, 1914-18 /M.L. Sanders and Philip M. Taylor",,"London :Macmillan,1982","x, 320 p. ;23cm",,,,,,"World War, 1914-1918--Propaganda ; --Propaganda, British--History",,,,"Taylor, Philip M.,1954-",333292758,,,
"Jolly, W. A.(William Alfred),1881-1955,compiler. ","Souvenir of The Great War 1914-1919 /compiled by W.A. Jolly, 1919 ; sponsored by David Teague, 2015.",Reproduction edition,"Stafford, Queensland :David Teague,2015.","46 pages :illustrations, portraits ;24 cm.",,,,,,"World War, 1914-1918--Queensland--Brisbane--Registers.",Windsor (Qld.)--History,,,"Teague, Davidissuing body.",,,,
 ,Gallipoli[videorecording] :untold stories from war correspondent Charles Bean and front-line Anzacs.,,"[Australia] :TW & Associates,2005.","1 videodisk (DVD) (75 min.) :sd., col., b&w ;12 cm.","""90th anniversary tribute""",,,"Bean, C. E. W.--(Charles Edwin Woodrow),--1879-1968.",Australia.--Army.--Australian and New Zealand Army Corps.,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Personal narratives, New Zealand. ; --World War, 1914-1918--Personal narratives, Australian.",,,,"Thompson, Jack,1940- ; King, Jonathan,1942-",,,,
"Pugsley, Christopher ",Gallipoli :the New Zealand story /Christopher Pugsley,,"Auckland :Hodder & Stoughton,1984","384 p. :ill., facsims., ports. ;25 cm",Cover: 'Foreword by Lt.-General Sir Leonard Thornton' .,Includes index .,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula ; --World War, 1914-1918--Personal narratives, New Zealand",,,,"Thornton, Leonard,Sir",340338776,,,
"Laurence, Caroline ",From bully beef to icecream :the diet of the Australian Armed Forces in World War I and World War II /Caroline Laurence and Joanne Tiddy,,"<Daw Park, SA> :Repatriation General Hospital,1989","52 p. :ill., ports. ;30 cm.",,,,,,"Operational rations (Military supplies)--Australia ; --World War, 1914-1918--Food supply--Australia ; --World War, 1939-1945--Food supply--Australia ; --Diet--Australia",,,,"Tiddy, Joanne",731689399,,,
"Botting, Douglas,1934- ",The U-boats /by Douglas Botting and the editors of Time-Life Books,,"Amsterdam :Time-Life Books,c1979","176 p. :ill. (some col.), maps, ports. ;29 cm.",Includes index. ; Col. maps on lining papers . ; Library holds 1981 printing,,,,,"World War, 1914-1918--Naval operations--Submarine ; --World War, 1939-1945--Naval operations--Submarine ; --Submarine warfare--History",,,,Time-Life Books,070540630X,The seafarers,,
 ,An awfully big adventure :New Zealand World War One veterans tell their stories /selected and edited by Jane Tolerton ; from interviews for the World War One Oral History Archive.,,"Auckland, New Zealand :Penguin Books,2013. ; ©2013.","304 pages :illustrations, maps, portraits ;24 cm.",Includes index.,Before the war -- 1914 -- 1915 -- 1916 -- 1917 -- 1918 -- After the war.,"What was it like to be a New Zealand soldier in the First World War? What impact did the war have on those who returned? Let them tell you. An Awfully Big Adventure traces the reminiscences and reflections of 80 veterans interviewed for the World War One Oral History Archive. Respected journalist Jane Tolerton revisits the interviews and sets pieces in a chronology for 21st-century readers to follow the progress and human experience of the war - in the words of those who were there. The men relive their time abroad, offering intimate, private moments as well as the unvarnished realities of life at the front. A century on, their voices are vivid, strong and direct, and often humorous. Deeply affecting and absorbing, An Awfully Big Adventure is an important historical memoir that reads as if it all happened yesterday.",,"New Zealand.--Army.--New Zealand Expeditionary Force, 1st--History.","World War, 1914-1918--New Zealand. ; --World War, 1914-1918--Personal narratives, New Zealand. ; --Soldiers--New Zealand--Biography.",,,,"Tolerton, Jane,1957-,editor. ; Stout Research Centre for New Zealand Studies.",9780143568490 (paperback) ; 0143568493 (paperback),,,
"Sinclair, Bruce. ",Toowong Memorial Park /by Bruce Sinclair.,,"Toowong, Qld. :Toowong and District Historial Society,©2011.","[4], 70 p. :ill., maps ;30 cm.",,,,,"Toowong Memorial Park (Brisbane, Qld.)--History.","War memorials--Queensland--Toowong. ; --World War, 1914-1918--Monuments--Queensland--Toowong. ; --Soldiers--Queensland--Toowong--Biography.",,,,Toowong and District Historical Society.,9780975798096 (pbk),,,
 ,Gallipoli 1915 :tribute to those who were there /compiled and written by Colin Townsend,,"Paeroa <N.Z.> :Patricia Townsend,1999","v, 182 p. :ill., facsims., ports. ;25 cm.",Extracts from letters and diaries of 29 New Zealand soldiers who fought at Gallipoli.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula ; --Soldiers--New Zealand--Correspondence ; --Soldiers--New Zealand--Diaries ; --World War, 1914-1918--Personal narratives, New Zealand",,,,"Townsend, Colin",0473061783 (pbk),,,
"Townshend, Charles. ",Desert hell :the British invasion of Mesopotamia /Charles Townshend.,,"Cambridge, Mass. :Belknap Press of Harvard University Press,2011.","xxiv, 591 p., [8] p. of plates :ill., maps ;24 cm.","Originally published as: When God made hell. London : Faber, 2010.",,"The U.S.-led conquest and occupation of Iraq have kept that troubled country in international headlines since 2003. For America's major Coalition ally, Great Britain, however, this latest incursion into the region played out against the dramatic backdrop of imperial history: Britain's fateful invasion of Mesopotamia in 1914 and the creation of a new nation from the shards of war. The objectives of the expedition sent by the British Government of India were primarily strategic: to protect the Raj, impress Britain's military power upon Arabs chafing under Ottoman rule, and secure the Persian oil supply. But over the course of the Mesopotamian campaign, these goals expanded, and by the end of World War I Britain was committed to controlling the entire region from Suez to India. The conquest of Mesopotamia and the creation of Iraq were the central acts in this boldly opportunistic bid for supremacy. Charles Townshend provides a compelling account of the atrocious, unnecessary suffering inflicted on the expedition's mostly Indian troops, which set the pattern for Britain's follow-up campaigns in Iraq and Afghanistan over the next seven years. He chronicles the overconfidence, incompetence, and dangerously vague policy that distorted the mission, and examines the steps by which an initially cautious strategic operation led to imperial expansion on a vast scale. Desert Hell is a cautionary tale for makers of national policy. And for those with an interest in imperial history, it raises searching questions about Britain's quest for global power and the indelible consequences of those actions for the Middle East and the world.",,,"World War, 1914-1918--Campaigns--Iraq.",Great Britain--Foreign relations--Iraq. ; --Iraq--Foreign relations--Great Britain. ; --Iraq--History--20th century.,,,"Townshend, Charles.When God made hell.",9780674059993 (cloth : alk. paper),,,
